# Revision 0.1,25-Oct-18,Initial release,,,,,,,,,
# Revision 1.01,18-Apr-19,Update the QFN72 package with pin 73 as ePAD,,,,,,,,,
,,,,,,,,,,,
PAD,Pin/Ball Function,BANK,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256,CABGA400,CABGA484
78,PL17C,4,-,True_OF_PL17D,-,,7,-,H5,M3,M6
79,VCC,-,-,-,-,,-,-,-,-,-
80,PL17D,4,-,Comp_OF_PL17C,-,,7,-,J4,M4,M5
81,PL18A,4,-,True_OF_PL18B,-,,7,-,-,L5,N2
82,NC,-,-,-,-,,-,-,-,-,-
83,PL18B,4,-,Comp_OF_PL18A,-,,7,-,-,M5,P1
84,PL18C,4,-,True_OF_PL18D,-,,7,-,J5,L6,N3
85,GND,-,-,-,-,,-,-,-,-,-
86,PL18D,4,-,Comp_OF_PL18C,-,,8,-,K6,L7,N4
87,PL19A,4,-,True_OF_PL19B,-,,8,-,K3,N1,P2
88,GND,-,-,-,-,,-,-,-,-,-
89,PL19B,4,-,Comp_OF_PL19A,-,,8,-,K2,N2,R1
90,PL19C,4,-,True_OF_PL19D,-,,8,-,-,P1,P3
91,VCCIO4,4,-,-,-,,-,-,-,-,-
92,PL19D,4,-,Comp_OF_PL19C,-,,8,-,-,P2,M7
93,PL20A,3,-,True_OF_PL20B,-,,8,-,-,N3,P4
94,GND,-,-,-,-,,-,-,-,-,-
95,PL20B,3,-,Comp_OF_PL20A,-,,9,-,-,N4,N5
96,PL20C,3,-,True_OF_PL20D,-,,9,-,-,M6,N6
97,VCCIO3,3,-,-,-,,-,-,-,-,-
98,PL20D,3,-,Comp_OF_PL20C,-,,9,-,-,M7,N7
99,PL21A,3,-,True_OF_PL21B,-,,9,-,-,-,R2
100,VCCIO3,3,-,-,-,,-,-,-,-,-
101,PL21B,3,-,Comp_OF_PL21A,-,,9,-,-,-,T1
102,PL21C,3,-,True_OF_PL21D,-,,9,-,K4,R1,P5
103,GND,-,-,-,-,,-,-,-,-,-
104,PL21D,3,-,Comp_OF_PL21C,-,,10,-,L5,R2,P6
105,PL24A,3,-,True_OF_PL24B,-,,10,-,-,-,R3
106,GND,-,-,-,-,,-,-,-,-,-
107,PL24B,3,-,Comp_OF_PL24A,-,,10,-,-,-,R4
108,PL24C,3,-,True_OF_PL24D,-,,10,-,-,-,R5
109,VCC,-,-,-,-,,-,-,-,-,-
110,PL24D,3,-,Comp_OF_PL24C,-,,10,-,-,-,P7
111,PL25A,3,I3C,True_OF_PL25B,-,,10,6,L1,P3,T2
112,GND,-,-,-,-,,-,-,-,-,-
113,PL25B,3,I3C,Comp_OF_PL25A,-,,11,7,L3,P4,U1
114,PL25C,3,-,True_OF_PL25D,-,,11,-,-,-,R6
115,VCCIO3,3,-,-,-,,-,-,-,-,-
116,PL25D,3,-,Comp_OF_PL25C,-,,11,-,-,-,R7
117,PL26A,3,-,True_OF_PL26B,-,,11,-,-,T1,T3
118,VCCIO3,3,-,-,-,,-,-,-,-,-
119,PL26B,3,-,Comp_OF_PL26A,-,,11,-,-,T2,T4
120,PL26C,3,-,True_OF_PL26D,-,,11,-,K5,N5,T5
121,VCC,-,-,-,-,,-,-,-,-,-
122,PL26D,3,-,Comp_OF_PL26C,-,,11,-,L4,N6,T6
123,PL27A,3,PCLKT3_0,True_OF_PL27B,-,,11,8,L2,U1,U2
124,VCC,-,-,-,-,,-,-,-,-,-
125,PL27B,3,PCLKC3_0,Comp_OF_PL27A,-,,11,9,M1,U2,V1
126,PL27C,3,-,True_OF_PL27D,-,,11,-,-,R3,U3
127,GND,-,-,-,-,,-,-,-,-,-
128,PL27D,3,-,Comp_OF_PL27C,-,,12,-,-,R4,U4
129,PL28A,3,-,True_OF_PL28B,-,,12,-,-,T3,W1
130,GND,-,-,-,-,,-,-,-,-,-
131,PL28B,3,-,Comp_OF_PL28A,-,,12,-,-,T4,W2
132,PL28C,3,-,True_OF_PL28D,-,,12,-,N2,V1,V4
133,VCCIO3,3,-,-,-,,-,-,-,-,-
134,PL28D,3,-,Comp_OF_PL28C,-,,12,-,P1,V2,U5
135,PL29A,3,I3C,True_OF_PL29B,-,,12,10,M3,V3,Y1
136,VCC,-,-,-,-,,-,-,-,-,-
137,PL29B,3,I3C,Comp_OF_PL29A,-,,12,11,N1,V4,AA1
138,PL29C,3,-,True_OF_PL29D,-,,12,-,-,P5,W3
139,GND,-,-,-,-,,-,-,-,-,-
140,PL29D,3,-,Comp_OF_PL29C,-,,13,-,-,P6,Y2
141,PL30A,3,I3C,True_OF_PL30B,-,,13,12,M2,T5,Y3
142,VCCIO3,3,-,-,-,,-,-,-,-,-
143,PL30B,3,I3C,Comp_OF_PL30A,-,,13,13,N3,R5,W4
144,PL30C,3,-,True_OF_PL30D,-,,13,14,R1,U4,V5
145,GND,-,-,-,-,,-,-,-,-,-
146,PL30D,3,-,Comp_OF_PL30C,-,,14,-,P2,U5,T7
147,VCC,-,-,-,-,,-,-,-,-,-
148,NC,-,-,-,-,,-,-,-,-,-
149,VCCIO2,2,-,-,-,,-,-,-,-,-
150,PB5A,2,-,True_OF_PB5B,-,,14,-,P4,W1,AA2
151,GND,-,-,-,-,,-,-,-,-,-
152,PB5B,2,-,Comp_OF_PB5A,-,,15,-,T4,Y1,AB2
153,PB5C,2,-,True_OF_PB5D,-,,15,-,T2,R6,V6
154,VCCIO2,2,-,-,-,,-,-,-,-,-
155,PB5D,2,-,Comp_OF_PB5C,-,,15,-,R3,T6,U6
156,NC,-,-,-,-,,-,-,-,-,-
157,PB7A,2,CSSPIN,True_OF_PB7B,-,,15,16,R5,W2,AA3
158,GND,-,-,-,-,,-,-,-,-,-
159,PB7B,2,-,Comp_OF_PB7A,-,,16,17,P5,Y2,AB3
160,PB7C,2,-,True_OF_PB7D,-,,16,-,-,P7,Y4
161,VCC,-,-,-,-,,-,-,-,-,-
162,PB7D,2,-,Comp_OF_PB7C,-,,16,-,-,R7,W5
163,PB8C,2,-,True_OF_PB8D,-,,16,-,-,V6,U7
164,VCC,-,-,-,-,,-,-,-,-,-
165,PB8D,2,-,Comp_OF_PB8C,-,,16,-,-,U6,T8
166,PB8A,2,-,True_OF_PB8B,-,,16,-,T3,W3,AA4
167,VCCIO2,2,-,-,-,,-,-,-,-,-
168,PB8B,2,-,Comp_OF_PB8A,-,,16,-,R4,Y3,AB4
169,PB10A,2,-,True_OF_PB10B,-,,16,-,T5,W4,AA5
170,GND,-,-,-,-,,-,-,-,-,-
171,PB10B,2,-,Comp_OF_PB10A,-,,17,-,R6,Y4,AB5
172,PB10C,2,-,True_OF_PB10D,-,,17,-,-,P8,Y5
173,GND,-,-,-,-,,-,-,-,-,-
174,PB10D,2,-,Comp_OF_PB10C,-,,17,-,-,R8,Y6
175,PB11A,2,-,True_OF_PB11B,-,,17,-,-,-,AA6
176,VCCIO2,2,-,-,-,,-,-,-,-,-
177,PB11B,2,-,Comp_OF_PB11A,-,,17,-,-,-,AB6
178,PB11C,2,-,True_OF_PB11D,-,,17,-,-,-,W6
179,GND,-,-,-,-,,-,-,-,-,-
180,PB11D,2,-,Comp_OF_PB11C,-,,17,-,-,-,V7
181,PB13C,2,-,True_OF_PB13D,-,,17,-,-,T7,V8
182,VCCIO2,2,-,-,-,,-,-,-,-,-
183,PB13D,2,-,Comp_OF_PB13C,-,,17,-,-,T8,U8
184,PB13A,2,-,True_OF_PB13B,-,,17,-,N6,W5,AA7
185,VCCIO2,2,-,-,-,,-,-,-,-,-
186,PB13B,2,-,Comp_OF_PB13A,-,,17,-,L7,Y5,AB7
187,NC,-,-,-,-,,-,-,-,-,-
188,PB16A,2,MCLK/CCLK,True_OF_PB16B,-,,17,19,P6,W6,T9
189,GND,-,-,-,-,,-,-,-,-,-
190,PB16B,2,SO/SPISO,Comp_OF_PB16A,-,,18,20,T6,Y6,U9
191,PB16C,2,-,True_OF_PB16D,-,,18,-,-,P9,V9
192,NC,-,-,-,-,,-,-,-,-,-
193,GND,-,-,-,-,,-,-,-,-,-
194,PB16D,2,-,Comp_OF_PB16C,-,,19,-,-,R9,W8
195,PB18A,2,-,True_OF_PB18B,-,,19,21,R7,W7,AA8
196,VCC,-,-,-,-,,-,-,-,-,-
197,PB18B,2,-,Comp_OF_PB18A,-,,19,22,P7,Y7,AB8
198,PB18C,2,-,True_OF_PB18D,-,,19,-,M7,V8,Y8
199,VCC,-,-,-,-,,-,-,-,-,-
200,PB18D,2,-,Comp_OF_PB18C,-,,19,-,N7,U9,W9
201,PB19A,2,-,True_OF_PB19B,-,,19,-,-,V9,AA9
202,VCCIO2,2,-,-,-,,-,-,-,-,-
203,PB19B,2,-,Comp_OF_PB19A,-,,19,-,-,T9,AB9
204,PB19C,2,-,True_OF_PB19D,-,,19,-,-,-,T10
205,VCCIO2,2,-,-,-,,-,-,-,-,-
206,PB19D,2,-,Comp_OF_PB19C,-,,19,-,-,-,U10
207,PB21C,2,-,True_OF_PB21D,-,,19,-,-,-,Y9
208,VCCIO2,2,-,-,-,,-,-,-,-,-
209,PB21D,2,-,Comp_OF_PB21C,-,,19,-,-,-,Y10
210,PB21A,2,-,True_OF_PB21B,-,,19,-,M6,W8,V10
211,GND,-,-,-,-,,-,-,-,-,-
212,PB21B,2,-,Comp_OF_PB21A,-,,20,-,L8,Y8,W10
213,NC,-,-,-,-,,-,-,-,-,-
214,PB22A,2,PCLKT2_0,True_OF_PB22B,-,,20,23,T7,W9,AA10
215,GND,-,-,-,-,,-,-,-,-,-
216,PB22B,2,PCLKC2_0,Comp_OF_PB22A,-,,20,24,R8,Y9,AB10
217,PB22C,2,-,True_OF_PB22D,-,,20,-,-,P10,T11
218,VCCIO2,2,-,-,-,,-,-,-,-,-
219,PB22D,2,-,Comp_OF_PB22C,-,,20,-,-,R10,U11
220,PB24A,2,-,True_OF_PB24B,-,,20,-,P8,Y10,AA11
221,GND,-,-,-,-,,-,-,-,-,-
222,PB24B,2,-,Comp_OF_PB24A,-,,21,-,T8,W10,AB11
223,PB24C,2,-,True_OF_PB24D,-,,21,-,N8,U10,V11
224,NC,-,-,-,-,,-,-,-,-,-
225,VCC,-,-,-,-,,-,-,-,-,-
226,PB24D,2,-,Comp_OF_PB24C,-,,21,-,L9,V10,Y11
227,PB27C,2,-,True_OF_PB27D,-,,21,-,-,U11,U12
228,GND,-,-,-,-,,-,-,-,-,-
229,PB27D,2,-,Comp_OF_PB27C,-,,22,-,-,T10,V12
230,PB27A,2,-,True_OF_PB27B,-,,22,-,M8,Y11,Y12
231,VCCIO2,2,-,-,-,,-,-,-,-,-
232,PB27B,2,-,Comp_OF_PB27A,-,,22,-,N9,W11,T12
233,NC,-,-,-,-,,-,-,-,-,-
234,PB29A,2,PCLKT2_1,True_OF_PB29B,-,,22,26,T9,Y12,AB12
235,VCCIO2,2,-,-,-,,-,-,-,-,-
236,PB29B,2,PCLKC2_1,Comp_OF_PB29A,-,,22,27,P9,W12,AA12
237,PB29C,2,-,True_OF_PB29D,-,,22,-,-,P11,V13
238,VCC,-,-,-,-,,-,-,-,-,-
239,PB29D,2,-,Comp_OF_PB29C,-,,22,-,-,R11,U13
240,PB30A,2,-,True_OF_PB30B,-,,22,-,R9,Y13,AB13
241,VCC,-,-,-,-,,-,-,-,-,-
242,PB30B,2,-,Comp_OF_PB30A,-,,22,-,T10,W13,AA13
243,PB30C,2,-,True_OF_PB30D,-,,22,-,M9,V12,Y13
244,NC,-,-,-,-,,-,-,-,-,-
245,GND,-,-,-,-,,-,-,-,-,-
246,PB30D,2,-,Comp_OF_PB30C,-,,23,-,L10,V13,W13
247,PB32C,2,-,True_OF_PB32D,-,,23,-,-,U12,U14
248,VCCIO2,2,-,-,-,,-,-,-,-,-
249,PB32D,2,-,Comp_OF_PB32C,-,,23,-,-,T11,V14
250,PB32A,2,-,True_OF_PB32B,-,,23,28,N10,Y14,T13
251,NC,-,-,-,-,,-,-,-,-,-
252,VCCIO2,2,-,-,-,,-,-,-,-,-
253,PB32B,2,-,Comp_OF_PB32A,-,,23,-,M11,W14,T14
254,PB33A,2,-,True_OF_PB33B,-,,23,-,P10,Y15,AB14
255,VCC,-,-,-,-,,-,-,-,-,-
256,PB33B,2,-,Comp_OF_PB33A,-,,23,-,R10,W15,AA14
257,PB33C,2,-,True_OF_PB33D,-,,23,-,-,P12,Y14
258,GND,-,-,-,-,,-,-,-,-,-
259,PB33D,2,-,Comp_OF_PB33C,-,,24,-,-,R12,W14
260,PB35A,2,-,True_OF_PB35B,-,,24,30,T11,Y16,AB15
261,VCCIO2,2,-,-,-,,-,-,-,-,-
262,PB35B,2,-,Comp_OF_PB35A,-,,24,31,P11,W16,AA15
263,PB35C,2,-,True_OF_PB35D,-,,24,-,M10,T12,Y15
264,VCC,-,-,-,-,,-,-,-,-,-
265,PB35D,2,-,Comp_OF_PB35C,-,,24,-,N11,T13,W15
266,PB38A,2,-,True_OF_PB38B,-,,24,-,-,Y17,AB16
267,GND,-,-,-,-,,-,-,-,-,-
268,PB38B,2,-,Comp_OF_PB38A,-,,25,-,-,W17,AA16
269,PB38C,2,-,True_OF_PB38D,-,,25,-,-,P13,V15
270,GND,-,-,-,-,,-,-,-,-,-
271,PB38D,2,-,Comp_OF_PB38C,-,,25,-,-,R13,U15
272,PB40A,2,-,True_OF_PB40B,-,,25,-,-,-,AB17
273,VCCIO2,2,-,-,-,,-,-,-,-,-
274,PB40B,2,-,Comp_OF_PB40A,-,,25,-,-,-,AA17
275,PB40C,2,-,True_OF_PB40D,-,,25,-,-,-,Y17
276,GND,-,-,-,-,,-,-,-,-,-
277,PB40D,2,-,Comp_OF_PB40C,-,,25,-,-,-,V16
278,PB41C,2,-,True_OF_PB41D,-,,25,-,-,V15,Y18
279,GND,-,-,-,-,,-,-,-,-,-
280,PB41D,2,-,Comp_OF_PB41C,-,,26,-,-,V16,W17
281,PB41A,2,-,True_OF_PB41B,-,,26,33,R13,V14,AB18
282,VCCIO2,2,-,-,-,,-,-,-,-,-
283,PB41B,2,-,Comp_OF_PB41A,-,,26,34,T14,U14,AA18
284,PB43A,2,-,True_OF_PB43B,-,,26,-,R11,Y18,AB19
285,VCCIO2,2,-,-,-,,-,-,-,-,-
286,NC,-,-,-,-,,-,-,-,-,-
287,PB43B,2,-,Comp_OF_PB43A,-,,26,-,T12,W18,AA19
288,PB43C,2,-,True_OF_PB43D,-,,26,-,-,T14,T15
289,VCC,-,-,-,-,,-,-,-,-,-
290,PB43D,2,-,Comp_OF_PB43C,-,,26,-,-,U15,U16
291,PB44A,2,-,True_OF_PB44B,-,,26,-,P12,Y19,AB20
292,VCC,-,-,-,-,,-,-,-,-,-
293,PB44B,2,-,Comp_OF_PB44A,-,,26,-,T13,W19,AA20
294,PB44C,2,-,True_OF_PB44D,-,,26,-,-,P14,Y19
295,GND,-,-,-,-,,-,-,-,-,-
296,PB44D,2,-,Comp_OF_PB44C,-,,27,-,-,R14,W18
297,NC,-,-,-,-,,-,-,-,-,-
298,PB46A,2,SN,True_OF_PB46B,-,,27,35,R12,Y20,AB21
299,VCCIO2,2,-,-,-,,-,-,-,-,-
300,PB46B,2,SI/SISPI,Comp_OF_PB46A,-,,27,36,P13,W20,AA21
301,PB46C,2,-,True_OF_PB46D,-,,27,-,T15,T16,V17
302,NC,-,-,-,-,,-,-,-,-,-
303,GND,-,-,-,-,,-,-,-,-,-
304,PB46D,2,-,Comp_OF_PB46C,-,,27,-,R14,R15,T16
305,VCC,-,-,-,-,,-,-,-,-,-
306,PR30D,1,-,Comp_OF_PR30C,-,,27,-,R16,V17,Y20
307,GND,-,-,-,-,,-,-,-,-,-
308,PR30B,1,-,Comp_OF_PR30A,-,,28,-,-,T17,W20
309,PR30C,1,-,True_OF_PR30D,-,,28,-,P15,U17,W19
310,VCCIO1,1,-,-,-,,-,-,-,-,-
311,PR30A,1,-,True_OF_PR30B,-,,28,-,-,V19,V18
312,PR29D,1,-,Comp_OF_PR29C,-,,28,-,-,R16,V19
313,GND,-,-,-,-,,-,-,-,-,-
314,PR29B,1,-,Comp_OF_PR29A,-,,29,-,N14,U18,Y21
315,PR29C,1,-,True_OF_PR29D,-,,29,-,-,P15,U17
316,VCC,-,-,-,-,,-,-,-,-,-
317,PR29A,1,-,True_OF_PR29B,-,,29,-,N16,R17,AA22
318,PR28D,1,-,Comp_OF_PR28C,-,,29,-,P16,N14,U18
319,VCCIO1,1,-,-,-,,-,-,-,-,-
320,PR28B,1,-,Comp_OF_PR28A,-,,29,-,M15,P16,W21
321,PR28C,1,-,True_OF_PR28D,-,,29,-,N15,N15,U19
322,VCCIO1,1,-,-,-,,-,-,-,-,-
323,PR28A,1,-,True_OF_PR28B,-,,29,37,M14,V20,Y22
324,PR27D,1,-,Comp_OF_PR27C,-,,29,-,-,U19,U20
325,GND,-,-,-,-,,-,-,-,-,-
326,PR27B,1,-,Comp_OF_PR27A,-,,30,-,-,-,T18
327,PR27C,1,-,True_OF_PR27D,-,,30,-,-,T18,T17
328,VCC,-,-,-,-,,-,-,-,-,-
329,PR27A,1,-,True_OF_PR27B,-,,30,-,-,-,T19
330,PR26D,1,-,Comp_OF_PR26C,-,,30,-,-,-,T20
331,VCCIO1,1,-,-,-,,-,-,-,-,-
332,PR26B,1,-,Comp_OF_PR26A,-,,30,-,-,P17,R17
333,PR26C,1,-,True_OF_PR26D,-,,30,-,-,-,R16
334,GND,-,-,-,-,,-,-,-,-,-
335,PR26A,1,-,True_OF_PR26B,-,,31,-,-,U20,R18
336,PR25D,1,-,Comp_OF_PR25C,-,,31,-,L13,T19,R19
337,VCCIO1,1,-,-,-,,-,-,-,-,-
338,PR25B,1,-,Comp_OF_PR25A,-,,31,-,M16,R19,W22
339,PR25C,1,-,True_OF_PR25D,-,,31,-,K11,T20,R20
340,GND,-,-,-,-,,-,-,-,-,-
341,PR25A,1,-,True_OF_PR25B,-,,32,-,L15,N16,V22
342,PR24D,1,-,Comp_OF_PR24C,-,,32,-,K12,M14,U21
343,VCC,-,-,-,-,,-,-,-,-,-
344,PR24B,1,-,Comp_OF_PR24A,-,,32,-,-,R20,P16
345,PR24C,1,-,True_OF_PR24D,-,,32,-,K13,M15,U22
346,VCCIO1,1,-,-,-,,-,-,-,-,-
347,PR24A,1,-,True_OF_PR24B,-,,32,-,-,P18,P17
348,PR21D,1,-,Comp_OF_PR21C,-,,32,-,-,P19,P18
349,GND,-,-,-,-,,-,-,-,-,-
350,PR21B,1,-,Comp_OF_PR21A,-,,33,38,L14,N17,T21
351,PR21C,1,-,True_OF_PR21D,-,,33,-,-,P20,P19
352,VCC,-,-,-,-,,-,-,-,-,-
353,PR21A,1,-,True_OF_PR21B,-,,33,40,L16,N18,T22
354,PR20D,1,-,Comp_OF_PR20C,-,,33,-,L12,N19,P20
355,VCC,-,-,-,-,,-,-,-,-,-
356,PR20B,1,-,Comp_OF_PR20A,-,,33,-,K15,N20,R21
357,PR20C,1,-,True_OF_PR20D,-,,33,-,J11,M16,P22
358,VCCIO1,1,-,-,-,,-,-,-,-,-
359,PR20A,1,-,True_OF_PR20B,-,,33,-,K14,M17,R22
360,PR19D,1,-,Comp_OF_PR19C,-,,33,-,J13,M18,N19
361,VCCIO1,1,-,-,-,,-,-,-,-,-
362,PR19B,1,-,Comp_OF_PR19A,-,,33,-,K16,M19,P21
363,PR19C,1,-,True_OF_PR19D,-,,33,-,H11,L16,N20
364,GND,-,-,-,-,,-,-,-,-,-
365,PR19A,1,-,True_OF_PR19B,-,,34,-,J15,M20,N22
366,PR18D,1,-,Comp_OF_PR18C,-,,34,-,-,L15,N18
367,VCC,-,-,-,-,,-,-,-,-,-
368,PR18B,1,-,Comp_OF_PR18A,-,,34,-,J14,L20,N16
369,PR18C,1,-,True_OF_PR18D,-,,34,-,-,L14,N17
370,VCCIO1,1,-,-,-,,-,-,-,-,-
371,PR18A,1,-,True_OF_PR18B,-,,34,-,J16,L19,M16
372,PR17D,1,-,Comp_OF_PR17C,-,,34,-,-,L17,M19
373,GND,-,-,-,-,,-,-,-,-,-
374,PR17B,1,PCLKC1_0,Comp_OF_PR17A,-,,35,41,H16,K20,M21
375,PR17C,1,-,True_OF_PR17D,-,,35,-,-,K16,M20
376,NC,-,-,-,-,,-,-,-,-,-
377,PR17A,1,PCLKT1_0,True_OF_PR17B,-,,35,43,H14,K19,M22
378,NC,-,-,-,-,,-,-,-,-,-
379,PR16D,1,-,Comp_OF_PR16C,-,,35,-,J12,K18,M17
380,VCCIO1,1,-,-,-,,-,-,-,-,-
381,PR16B,1,-,Comp_OF_PR16A,-,,35,-,H15,J20,L21
382,PR16C,1,-,True_OF_PR16D,-,,35,-,H13,K17,L22
383,VCC,-,-,-,-,,-,-,-,-,-
384,PR16A,1,-,True_OF_PR16B,-,,35,-,G16,J19,K22
385,PR14D,1,-,Comp_OF_PR14C,-,,35,-,H12,K15,L20
386,NC,-,-,-,-,,-,-,-,-,-
387,PR14B,1,-,Comp_OF_PR14A,-,,35,-,-,J16,L16
388,PR14C,1,-,True_OF_PR14D,-,,35,-,G11,K14,L19
389,GND,-,-,-,-,,-,-,-,-,-
390,PR14A,1,-,True_OF_PR14B,-,,36,-,-,J18,L17
391,PR13D,1,-,Comp_OF_PR13C,-,,36,-,-,-,K16
392,VCCIO1,1,-,-,-,,-,-,-,-,-
393,PR13B,1,-,Comp_OF_PR13A,-,,36,-,-,-,K18
394,PR13C,1,-,True_OF_PR13D,-,,36,-,-,-,K17
395,GND,-,-,-,-,,-,-,-,-,-
396,PR13A,1,-,True_OF_PR13B,-,,36,-,-,-,K19
397,PR12D,1,-,Comp_OF_PR12C,-,,36,-,-,H20,K20
398,GND,-,-,-,-,,-,-,-,-,-
399,PR12B,1,-,Comp_OF_PR12A,-,,36,44,G14,H19,J22
400,PR12C,1,-,True_OF_PR12D,-,,36,-,-,J17,J20
401,VCCIO1,1,-,-,-,,-,-,-,-,-
