# Revision 1.0,15-Feb-19,Initial release,,,,,,,
# Revision 1.01,18-Apr-19,Update QFN72 package with pin 73 as ePAD ground,,,,,,,
# Revision 1.02,30-May-19,Update with dual function as I3C,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256
0,GND,-,-,-,-,,-,-,H8
0,GND,-,-,-,-,,-,-,F11
0,GND,-,-,-,-,,-,-,F6
0,GND,-,-,-,-,,-,-,E12
0,GND,-,-,-,-,,-,-,E5
0,GND,-,-,-,-,,-,-,D13
0,GND,-,-,-,-,,-,-,D4
0,GND,-,-,-,-,,-,-,C14
0,GND,-,-,-,-,,-,-,C3
0,GND,-,-,-,-,,-,-,B15
0,GND,-,-,-,-,,-,-,B2
0,GND,-,-,-,-,,-,-,-
0,GND,-,-,-,-,,-,-,-
0,GND,-,-,-,-,,-,-,-
0,GND,-,-,-,-,,-,-,-
0,GND,-,-,-,-,,-,-,-
0,VCC,-,-,-,-,,-,-,T16
0,VCC,-,-,-,-,,-,-,T1
0,VCC,-,-,-,-,,-,-,K10
0,VCC,-,-,-,-,,-,-,K7
0,VCC,-,-,-,-,,-,-,G10
0,VCC,-,-,-,-,,-,-,G7
0,VCC,-,-,-,-,,-,-,A16
0,VCC,-,-,-,-,,-,-,A1
0,VCC,-,-,-,-,,-,-,-
0,VCC,-,-,-,-,,-,-,-
0,VCC,-,-,-,-,,-,-,-
0,VCCIO0,0,-,-,-,,-,-,G9
0,VCCIO0,0,-,-,-,,-,-,G8
0,VCCIO0,0,-,-,-,,-,-,D12
0,VCCIO0,0,-,-,-,,-,-,D5
0,VCCIO0,0,-,-,-,,-,-,-
0,VCCIO1,1,-,-,-,,-,-,M13
0,VCCIO1,1,-,-,-,,-,-,J10
0,VCCIO1,1,-,-,-,,-,-,H10
0,VCCIO1,1,-,-,-,,-,-,E13
0,VCCIO1,1,-,-,-,,-,-,-
0,VCCIO2,2,-,-,-,,-,-,N12
0,VCCIO2,2,-,-,-,,-,-,N5
0,VCCIO2,2,-,-,-,,-,-,K9
0,VCCIO2,2,-,-,-,,-,-,K8
0,VCCIO2,2,-,-,-,,-,-,-
0,VCCIO3,3,-,-,-,,-,-,M4
0,VCCIO3,3,-,-,-,,-,-,-
0,VCCIO3,3,-,-,-,,-,-,-
0,VCCIO4,4,-,-,-,,-,-,J7
0,VCCIO4,4,-,-,-,,-,-,H7
0,VCCIO4,4,-,-,-,,-,-,-
0,VCCIO5,5,-,-,-,,-,-,E4
0,VCCIO5,5,-,-,-,,-,-,-
0,VCCIO5,5,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,A2
0,NC,-,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
0,NC,0,-,-,-,,-,-,-
