# Revision 1.0,15-Feb-19,Initial release,,,,,,,
# Revision 1.01,18-Apr-19,Update QFN72 package with pin 73 as ePAD ground,,,,,,,
# Revision 1.02,30-May-19,Update with dual function as I3C,,,,,,,
,,,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,,I/O Grouping,QFN72,CABGA256
113,PL20D,3,-,Comp_OF_PL20C,-,,+,-,P2
114,VCC,-,-,-,-,,+,-,-
115,NC,-,-,-,-,,+,-,-
116,VCCIO2,2,-,-,-,,-,-,-
117,PB3A,2,-,True_OF_PB3B,-,,-,-,P4
118,GND,-,-,-,-,,+,-,-
119,PB3B,2,-,Comp_OF_PB3A,-,,+,-,T4
120,PB3C,2,-,True_OF_PB3D,-,,+,-,T2
121,VCCIO2,2,-,-,-,,+,-,-
122,PB3D,2,-,Comp_OF_PB3C,-,,+,-,R3
123,NC,-,-,-,-,,+,-,-
124,PB4A,2,CSSPIN,True_OF_PB4B,-,,+,16,R5
125,GND,-,-,-,-,,-,-,-
126,PB4B,2,-,Comp_OF_PB4A,-,,-,17,P5
127,PB4C,2,-,True_OF_PB4D,-,,-,-,-
128,VCC,-,-,-,-,,-,-,-
129,PB4D,2,-,Comp_OF_PB4C,-,,-,-,-
130,PB6C,2,-,True_OF_PB6D,-,,-,-,-
131,VCC,-,-,-,-,,-,-,-
132,PB6D,2,-,Comp_OF_PB6C,-,,-,-,-
133,PB6A,2,-,True_OF_PB6B,-,,-,-,T3
134,VCCIO2,2,-,-,-,,-,18,-
135,PB6B,2,-,Comp_OF_PB6A,-,,-,-,R4
136,PB7A,2,-,True_OF_PB7B,-,,-,-,T5
137,GND,-,-,-,-,,+,-,-
138,PB7B,2,-,Comp_OF_PB7A,-,,+,-,R6
139,PB7C,2,-,True_OF_PB7D,-,,+,-,-
140,GND,-,-,-,-,,-,-,-
141,PB7D,2,-,Comp_OF_PB7C,-,,-,-,-
142,NC,-,-,-,-,,-,-,-
143,PB9A,2,MCLK/CCLK,True_OF_PB9B,-,,-,19,P6
144,VCCIO2,2,-,-,-,,-,-,-
145,PB9B,2,SO/SPISO,Comp_OF_PB9A,-,,-,20,T6
146,PB9C,2,-,True_OF_PB9D,-,,-,-,N6
147,NC,-,-,-,-,,-,-,-
148,GND,-,-,-,-,,+,-,-
149,PB9D,2,-,Comp_OF_PB9C,-,,+,-,L7
150,PB10A,2,-,True_OF_PB10B,-,,+,21,R7
151,VCC,-,-,-,-,,+,-,-
152,PB10B,2,-,Comp_OF_PB10A,-,,+,22,P7
153,PB10C,2,-,True_OF_PB10D,-,,+,-,M7
154,VCCIO2,2,-,-,-,,+,-,-
155,PB10D,2,-,Comp_OF_PB10C,-,,+,-,N7
156,PB12C,2,-,True_OF_PB12D,-,,+,-,-
157,VCCIO2,2,-,-,-,,+,-,-
158,PB12D,2,-,Comp_OF_PB12C,-,,+,-,-
159,PB12A,2,-,True_OF_PB12B,-,,+,-,M6
160,GND,-,-,-,-,,-,-,-
161,PB12B,2,-,Comp_OF_PB12A,-,,-,-,L8
162,NC,-,-,-,-,,-,-,-
163,PB13A,2,PCLKT2_0,True_OF_PB13B,-,,-,23,T7
164,GND,-,-,-,-,,+,-,-
165,PB13B,2,PCLKC2_0,Comp_OF_PB13A,-,,+,24,R8
166,PB13C,2,-,True_OF_PB13D,-,,+,-,-
167,VCCIO2,2,-,-,-,,+,25,-
168,PB13D,2,-,Comp_OF_PB13C,-,,+,-,-
169,PB15A,2,-,True_OF_PB15B,-,,+,-,P8
170,GND,-,-,-,-,,-,-,-
171,PB15B,2,-,Comp_OF_PB15A,-,,-,-,T8
172,PB15C,2,-,True_OF_PB15D,-,,-,-,N8
173,NC,-,-,-,-,,-,-,-
174,VCC,-,-,-,-,,-,-,-
175,PB15D,2,-,Comp_OF_PB15C,-,,-,-,L9
176,PB18C,2,-,True_OF_PB18D,-,,-,-,-
177,GND,-,-,-,-,,+,-,-
178,PB18D,2,-,Comp_OF_PB18C,-,,+,-,-
179,PB18A,2,-,True_OF_PB18B,-,,+,-,M8
180,VCCIO2,2,-,-,-,,+,-,-
181,PB18B,2,-,Comp_OF_PB18A,-,,+,-,N9
182,NC,-,-,-,-,,+,-,-
183,PB20A,2,PCLKT2_1,True_OF_PB20B,-,,+,26,T9
184,VCC,-,-,-,-,,+,-,-
185,PB20B,2,PCLKC2_1,Comp_OF_PB20A,-,,+,27,P9
186,PB20C,2,-,True_OF_PB20D,-,,+,-,-
187,GND,-,-,-,-,,-,-,-
188,PB20D,2,-,Comp_OF_PB20C,-,,-,-,-
189,PB21A,2,-,True_OF_PB21B,-,,-,-,R9
190,VCCIO2,2,-,-,-,,-,-,-
191,PB21B,2,-,Comp_OF_PB21A,-,,-,-,T10
192,PB21C,2,-,True_OF_PB21D,-,,-,-,M9
193,NC,-,-,-,-,,-,-,-
194,VCCIO2,2,-,-,-,,-,-,-
195,PB21D,2,-,Comp_OF_PB21C,-,,-,-,L10
196,PB23A,2,-,True_OF_PB23B,-,,-,-,P10
197,VCC,-,-,-,-,,-,29,-
198,PB23B,2,-,Comp_OF_PB23A,-,,-,-,R10
199,PB23C,2,-,True_OF_PB23D,-,,-,28,N10
200,GND,-,-,-,-,,+,-,-
201,PB23D,2,-,Comp_OF_PB23C,-,,+,-,M11
202,PB24A,2,-,True_OF_PB24B,-,,+,30,T11
203,VCCIO2,2,-,-,-,,+,32,-
204,PB24B,2,-,Comp_OF_PB24A,-,,+,31,P11
205,PB24C,2,-,True_OF_PB24D,-,,+,-,M10
206,NC,-,-,-,-,,+,-,-
207,GND,-,-,-,-,,-,-,-
208,PB24D,2,-,Comp_OF_PB24C,-,,-,-,N11
209,PB26C,2,-,True_OF_PB26D,-,,-,-,-
210,GND,-,-,-,-,,+,-,-
211,PB26D,2,-,Comp_OF_PB26C,-,,+,-,-
212,PB26A,2,-,True_OF_PB26B,-,,+,33,R13
213,VCCIO2,2,-,-,-,,+,-,-
214,PB26B,2,-,Comp_OF_PB26A,-,,+,34,T14
215,PB27A,2,-,True_OF_PB27B,-,,+,-,R11
216,VCCIO2,2,-,-,-,,+,-,-
217,NC,-,-,-,-,,+,-,-
218,PB27B,2,-,Comp_OF_PB27A,-,,+,-,T12
219,PB27C,2,-,True_OF_PB27D,-,,+,-,-
220,VCC,-,-,-,-,,+,-,-
221,PB27D,2,-,Comp_OF_PB27C,-,,+,-,-
222,PB29A,2,-,True_OF_PB29B,-,,+,-,P12
223,VCC,-,-,-,-,,+,-,-
224,PB29B,2,-,Comp_OF_PB29A,-,,+,-,T13
225,PB29C,2,-,True_OF_PB29D,-,,+,-,-
226,GND,-,-,-,-,,-,-,-
227,PB29D,2,-,Comp_OF_PB29C,-,,-,-,-
228,NC,-,-,-,-,,-,-,-
229,PB30A,2,SN,True_OF_PB30B,-,,-,35,R12
230,VCCIO2,2,-,-,-,,-,-,-
231,PB30B,2,SI/SISPI,Comp_OF_PB30A,-,,-,36,P13
232,PB30C,2,-,True_OF_PB30D,-,,-,-,T15
233,NC,-,-,-,-,,-,-,-
234,GND,-,-,-,-,,+,-,-
235,PB30D,2,-,Comp_OF_PB30C,-,,+,-,R14
236,VCC,-,-,-,-,,+,-,-
237,PR20D,1,-,Comp_OF_PR20C,-,,-,-,R16
238,GND,-,-,-,-,,+,-,-
239,PR20B,1,-,Comp_OF_PR20A,-,,+,-,-
240,PR20C,1,-,True_OF_PR20D,-,,+,-,P15
241,VCCIO1,1,-,-,-,,+,-,-
242,PR20A,1,-,True_OF_PR20B,-,,+,-,-
243,PR19D,1,-,Comp_OF_PR19C,-,,+,-,-
244,GND,-,-,-,-,,-,-,-
245,PR19B,1,-,Comp_OF_PR19A,-,,-,-,N14
246,PR19C,1,-,True_OF_PR19D,-,,-,-,-
247,VCC,-,-,-,-,,-,-,-
248,PR19A,1,-,True_OF_PR19B,-,,-,-,N16
249,PR18D,1,-,Comp_OF_PR18C,-,,-,-,P16
250,VCCIO1,1,-,-,-,,-,-,-
251,PR18B,1,-,Comp_OF_PR18A,-,,-,-,M15
252,PR18C,1,-,True_OF_PR18D,-,,-,-,N15
253,VCCIO1,1,-,-,-,,-,-,-
254,PR18A,1,-,True_OF_PR18B,-,,-,37,M14
255,PR17D,1,-,Comp_OF_PR17C,-,,-,-,-
256,GND,-,-,-,-,,+,-,-
257,PR17B,1,-,Comp_OF_PR17A,-,,+,-,-
258,PR17C,1,-,True_OF_PR17D,-,,+,-,-
259,GND,-,-,-,-,,-,-,-
260,PR17A,1,-,True_OF_PR17B,-,,-,-,-
261,PR16D,1,-,Comp_OF_PR16C,-,,-,-,L13
262,VCCIO1,1,-,-,-,,-,-,-
263,PR16B,1,-,Comp_OF_PR16A,-,,-,-,M16
264,PR16C,1,-,True_OF_PR16D,-,,-,-,K11
265,GND,-,-,-,-,,+,-,-
266,PR16A,1,-,True_OF_PR16B,-,,+,-,L15
267,PR15D,1,-,Comp_OF_PR15C,-,,+,-,K12
268,VCC,-,-,-,-,,+,-,-
269,PR15B,1,-,Comp_OF_PR15A,-,,+,38,L14
270,PR15C,1,-,True_OF_PR15D,-,,+,-,K13
271,VCCIO1,1,-,-,-,,+,39,-
272,PR15A,1,-,True_OF_PR15B,-,,+,40,L16
273,PR14D,1,-,Comp_OF_PR14C,-,,+,-,L12
274,VCCIO1,1,-,-,-,,+,-,-
275,PR14B,1,-,Comp_OF_PR14A,-,,+,-,K15
276,PR14C,1,-,True_OF_PR14D,-,,+,-,J11
277,GND,-,-,-,-,,-,-,-
278,PR14A,1,-,True_OF_PR14B,-,,-,-,K14
279,PR13D,1,-,Comp_OF_PR13C,-,,-,-,J13
280,VCC,-,-,-,-,,-,-,-
281,PR13B,1,-,Comp_OF_PR13A,-,,-,-,K16
282,PR13C,1,-,True_OF_PR13D,-,,-,-,H11
283,NC,-,-,-,-,,-,-,-
284,PR13A,1,-,True_OF_PR13B,-,,-,-,J15
285,PR10D,1,-,Comp_OF_PR10C,-,,-,-,J14
286,VCCIO1,1,-,-,-,,-,-,-
287,NC,-,-,-,-,,-,-,-
288,PR10C,1,-,True_OF_PR10D,-,,-,-,J16
289,GND,-,-,-,-,,+,-,-
290,PR10B,1,PCLKC1_0,Comp_OF_PR10A,-,,+,41,H16
291,NC,-,-,-,-,,+,-,-
292,PR9D,1,-,Comp_OF_PR9C,-,,+,-,J12
293,PR10A,1,PCLKT1_0,True_OF_PR10B,-,,+,43,H14
294,VCCIO1,1,-,-,-,,+,42,-
295,PR9C,1,-,True_OF_PR9D,-,,+,-,H13
296,PR9B,1,-,Comp_OF_PR9A,-,,+,-,H15
297,VCC,-,-,-,-,,+,-,-
298,PR9A,1,-,True_OF_PR9B,-,,+,-,G16
299,PR8D,1,-,Comp_OF_PR8C,-,,+,-,H12
300,GND,-,-,-,-,,-,-,-
301,PR8B,1,-,Comp_OF_PR8A,-,,-,44,G14
302,PR8C,1,-,True_OF_PR8D,-,,-,-,G11
303,VCCIO1,1,-,-,-,,-,-,-
304,PR8A,1,-,True_OF_PR8B,-,,-,45,G15
305,PR7D,1,-,Comp_OF_PR7C,-,,-,-,-
306,VCCIO1,1,-,-,-,,-,-,-
307,PR7B,1,-,Comp_OF_PR7A,-,,-,-,-
308,PR7C,1,-,True_OF_PR7D,-,,-,-,-
309,VCC,-,-,-,-,,-,46,-
310,PR7A,1,-,True_OF_PR7B,-,,-,-,-
311,PR6D,1,-,Comp_OF_PR6C,-,,-,-,G13
312,GND,-,-,-,-,,+,-,-
313,PR6B,1,-,Comp_OF_PR6A,-,,+,-,F16
314,PR6C,1,-,True_OF_PR6D,-,,+,-,F12
315,VCCIO1,1,-,-,-,,+,-,-
316,PR6A,1,-,True_OF_PR6B,-,,+,-,F14
317,PR5D,1,-,Comp_OF_PR5C,-,,+,-,G12
318,VCC,-,-,-,-,,+,-,-
319,PR5B,1,-,Comp_OF_PR5A,-,,+,-,F15
320,PR5C,1,-,True_OF_PR5D,-,,+,-,F13
321,VCCIO1,1,-,-,-,,+,-,-
322,PR5A,1,-,True_OF_PR5B,-,,+,47,E16
323,PR4D,1,-,Comp_OF_PR4C,-,,+,-,D15
324,GND,-,-,-,-,,-,-,-
325,PR4B,1,-,Comp_OF_PR4A,-,,-,-,-
326,PR4C,1,-,True_OF_PR4D,-,,-,-,C16
327,VCCIO1,1,-,-,-,,-,48,-
328,PR4A,1,-,True_OF_PR4B,-,,-,-,-
329,PR3D,1,-,Comp_OF_PR3C,-,,-,-,-
330,VCC,-,-,-,-,,-,-,-
331,PR3B,1,R_GPLLC_IN,Comp_OF_PR3A,-,,-,49,E14
332,PR3C,1,-,True_OF_PR3D,-,,-,-,-
333,GND,-,-,-,-,,+,-,-
334,PR3A,1,R_GPLLT_IN,True_OF_PR3B,-,,+,50,D16
335,PR2D,1,-,Comp_OF_PR2C,-,,+,-,B16
336,VCCIO1,1,-,-,-,,+,-,-
337,PR2B,1,R_GPLLC_FB,Comp_OF_PR2A,-,,+,52,E15
338,PR2C,1,-,True_OF_PR2D,-,,+,51,C15
339,GND,-,-,-,-,,-,-,-
340,PR2A,1,R_GPLLT_FB,True_OF_PR2B,-,,-,53,D14
341,NC,-,-,-,-,,-,-,-
342,VCC,-,-,-,-,,-,-,-
350,NC,-,-,-,-,,-,-,-
351,PT28B,0,-,Comp_OF_PT28A,TRUE,,+,-,A15
352,GND,-,-,-,-,,-,-,-
353,PT28D,0,DONE,Comp_OF_PT28C,-,,-,54,C13
354,PT28A,0,-,True_OF_PT28B,TRUE,,-,-,B14
355,VCCIO0,0,-,-,-,,-,-,-
356,PT28C,0,INITN,True_OF_PT28D,-,,-,55,A13
357,PT27D,0,-,Comp_OF_PT27C,-,,-,-,-
358,GND,-,-,-,-,,+,-,-
359,NC,-,-,-,-,,+,-,-
360,PT27B,0,-,Comp_OF_PT27A,TRUE,,+,-,B12
361,PT27C,0,-,True_OF_PT27D,-,,+,-,-
362,VCC,-,-,-,-,,+,-,-
363,PT27A,0,-,True_OF_PT27B,TRUE,,+,-,C12
364,NC,-,-,-,-,,+,-,-
365,PT26B,0,-,Comp_OF_PT26A,TRUE,,+,-,A14
366,VCC,-,-,-,-,,+,-,-
367,PT26D,0,-,Comp_OF_PT26C,-,,+,-,-
368,PT26A,0,-,True_OF_PT26B,TRUE,,+,-,B13
369,NC,-,-,-,-,,+,-,-
370,VCCIO0,0,-,-,-,,+,-,-
371,PT26C,0,-,True_OF_PT26D,-,,+,-,-
372,PT25D,0,-,Comp_OF_PT25C,-,,+,-,-
373,VCCIO0,0,-,-,-,,+,-,-
374,PT25B,0,-,Comp_OF_PT25A,TRUE,,+,56,A12
375,PT25C,0,-,True_OF_PT25D,-,,+,-,-
376,NC,-,-,-,-,,+,-,-
377,GND,-,-,-,-,,-,-,-
378,PT25A,0,-,True_OF_PT25B,TRUE,,-,57,B11
379,PT24D,0,-,Comp_OF_PT24C,-,,-,-,D11
380,GND,-,-,-,-,,+,-,-
381,PT24B,0,-,Comp_OF_PT24A,TRUE,,+,58,C11
382,PT24C,0,-,True_OF_PT24D,-,,+,-,F10
383,VCCIO0,0,-,-,-,,+,60,-
384,PT24A,0,-,True_OF_PT24B,TRUE,,+,59,A11
385,PT23B,0,-,Comp_OF_PT23A,TRUE,,+,-,E10
386,GND,-,-,-,-,,-,-,-
387,NC,-,-,-,-,,-,-,-
388,PT23D,0,PROGRAMN,Comp_OF_PT23C,-,,-,61,B10
389,PT23A,0,-,True_OF_PT23B,TRUE,,-,-,D10
390,VCC,-,-,-,-,,-,-,-
391,PT23C,0,JTAGENB,True_OF_PT23D,-,,-,62,C10
392,NC,-,-,-,-,,-,-,-
393,PT22B,0,-,Comp_OF_PT22A,TRUE,,-,-,E11
394,VCCIO0,0,-,-,-,,-,-,-
395,PT22D,0,-,Comp_OF_PT22C,-,,-,-,-
396,PT22A,0,-,True_OF_PT22B,TRUE,,-,-,F9
397,VCCIO0,0,-,-,-,,-,-,-
398,PT22C,0,-,True_OF_PT22D,-,,-,-,-
399,PT21D,0,-,Comp_OF_PT21C,-,,-,-,-
400,GND,-,-,-,-,,+,-,-
401,NC,-,-,-,-,,+,-,-
402,PT21B,0,-,Comp_OF_PT21A,TRUE,,+,63,A10
403,PT21C,0,-,True_OF_PT21D,-,,+,-,-
404,VCCIO0,0,-,-,-,,+,64,-
405,PT21A,0,-,True_OF_PT21B,TRUE,,+,65,B9
406,PT20B,0,-,Comp_OF_PT20A,TRUE,,+,-,D9
407,GND,-,-,-,-,,-,-,-
408,NC,-,-,-,-,,-,-,-
409,PT20D,0,SDA/PCLKC0_0,Comp_OF_PT20C,-,,-,66,C9
410,PT20A,0,-,True_OF_PT20B,TRUE,,-,-,F8
411,VCC,-,-,-,-,,-,-,-
412,PT20C,0,SCL/PCLKT0_0,True_OF_PT20D,-,,-,67,A9
413,NC,-,-,-,-,,-,-,-
414,PT19B,0,-,Comp_OF_PT19A,TRUE,,-,-,E9
415,GND,-,-,-,-,,+,-,-
416,NC,-,-,-,-,,+,-,-
417,PT19D,0,-,Comp_OF_PT19C,-,,+,-,-
418,PT19A,0,-,True_OF_PT19B,TRUE,,+,-,D8
419,VCCIO0,0,-,-,-,,+,-,-
420,PT19C,0,-,True_OF_PT19D,-,,+,-,-
421,PT18D,0,-,Comp_OF_PT18C,-,,+,-,-
422,VCC,-,-,-,-,,+,-,-
423,NC,-,-,-,-,,+,-,-
424,PT18B,0,PCLKC0_1,Comp_OF_PT18A,TRUE,,+,68,A8
425,PT18C,0,-,True_OF_PT18D,-,,+,-,-
426,GND,-,-,-,-,,-,-,-
427,PT18A,0,PCLKT0_1,True_OF_PT18B,TRUE,,-,69,C8
428,PT15B,0,-,Comp_OF_PT15A,TRUE,,-,-,E8
429,NC,-,-,-,-,,-,-,-
430,NC,-,-,-,-,,-,-,-
431,PT15D,0,TMS,Comp_OF_PT15C,-,,-,70,B8
432,PT15A,0,-,True_OF_PT15B,TRUE,,-,-,F7
433,VCCIO0,0,-,-,-,,-,-,-
434,NC,-,-,-,-,,-,-,-
435,PT15C,0,TCK,True_OF_PT15D,-,,-,71,A7
436,PT14D,0,-,Comp_OF_PT14C,-,,-,-,D7
437,VCCIO0,0,-,-,-,,-,72,-
438,NC,-,-,-,-,,-,-,-
439,PT14B,0,-,Comp_OF_PT14A,TRUE,,-,-,C7
440,PT14C,0,-,True_OF_PT14D,-,,-,-,E6
441,VCC,-,-,-,-,,-,-,-
442,PT14A,0,-,True_OF_PT14B,TRUE,,-,-,B7
443,PT13B,0,-,Comp_OF_PT13A,TRUE,,-,-,E7
444,GND,-,-,-,-,,+,-,-
445,NC,-,-,-,-,,+,-,-
446,PT13D,0,TDI,Comp_OF_PT13C,-,,+,1,A6
